nt_seq_ID	tip_labels	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	Location	Country	Year	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot	host_taxon	host_genus
Coundenality_virus_F1183C376F1183	Coundenality_virus_F1183C376F1183	C376	F1183	F1183	F1183_NODE_376_length_1516_cov_4.340862_1	F1183_NODE_376_length_1516_cov_4.340862	Cambodia:Pursat	Cambodia	2019	Aedes caecus	mixed custer, internally divergent	Culicidae sp Aedes caecus or Culex brevipalpis or Culex quinquefasciatus or Culex vishnui.g	_	cluster4	Culicidae sp Aedes caecus or Culex brevipalpis or Culex quinquefasciatus or Culex vishnui.g	Culicidae
Adsentalan_virus_F1186C10F1177	Adsentalan_virus_F1186C10F1177	C10	F1186	F1177	F1186_NODE_10_length_7325_cov_98.964924_2	F1186_NODE_10_length_7325_cov_98.964924	Cambodia:Pursat	Cambodia	2019	Aedes caecus	correct	Aedes caecus	_	cluster24	Aedes caecus	Aedes
Adsentalan_virus_F1186C10F1186	Adsentalan_virus_F1186C10F1186	C10	F1186	F1186	F1186_NODE_10_length_7325_cov_98.964924_2	F1186_NODE_10_length_7325_cov_98.964924	Cambodia:Pursat	Cambodia	2019	Aedes caecus	correct	Aedes caecus	_	cluster24	Aedes caecus	Aedes
Adsentalan_virus_F1186C10F1187	Adsentalan_virus_F1186C10F1187	C10	F1186	F1187	F1186_NODE_10_length_7325_cov_98.964924_2	F1186_NODE_10_length_7325_cov_98.964924	Cambodia:Pursat	Cambodia	2019	Aedes caecus	correct	Aedes caecus	_	cluster24	Aedes caecus	Aedes
Flatesals_virus_F1187C10F1177	Flatesals_virus_F1187C10F1177	C10	F1187	F1177	F1187_NODE_10_length_7026_cov_14.692727_2	F1187_NODE_10_length_7026_cov_14.692727	Cambodia:Pursat	Cambodia	2019	Aedes caecus	correct	Aedes caecus	_	cluster24	Aedes caecus	Aedes
Flatesals_virus_F1187C10F1178	Flatesals_virus_F1187C10F1178	C10	F1187	F1178	F1187_NODE_10_length_7026_cov_14.692727_2	F1187_NODE_10_length_7026_cov_14.692727	Cambodia:Pursat	Cambodia	2019	Aedes caecus	mixed cluster, internally divergent	Culicidae sp Aedes caecus or Culex bitaeniorhynchus or Culex tritaeniorhynchus or Culex vishnui.g or Mansonia uniformis	_	cluster25	Culicidae sp Aedes caecus or Culex bitaeniorhynchus or Culex tritaeniorhynchus or Culex vishnui.g or Mansonia uniformis	Culicidae
Flatesals_virus_F1187C10F1187	Flatesals_virus_F1187C10F1187	C10	F1187	F1187	F1187_NODE_10_length_7026_cov_14.692727_2	F1187_NODE_10_length_7026_cov_14.692727	Cambodia:Pursat	Cambodia	2019	Aedes caecus	correct	Aedes caecus	_	cluster24	Aedes caecus	Aedes
Adjoured_virus_F1191C7F1191	Adjoured_virus_F1191C7F1191	C7	F1191	F1191	F1191_NODE_7_length_7342_cov_35.660217_2	F1191_NODE_7_length_7342_cov_35.660217	Cambodia:Pursat	Cambodia	2019	Aedes gardneri	mixed cluster, internally divergent	Aedes sp albopictus or gardneri	related to F1194; cluster with 2 sequences only and it is indeed related to other Aedes gardneri. It is most likely correct species assignment.	cluster27	Aedes sp albopictus or gardneri	Aedes
Adjoured_virus_F1191C7F1194	Adjoured_virus_F1191C7F1194	C7	F1191	F1194	F1191_NODE_7_length_7342_cov_35.660217_2	F1191_NODE_7_length_7342_cov_35.660217	Cambodia:Pursat	Cambodia	2019	Aedes gardneri	mixed cluster, internally divergent	Aedes sp albopictus or gardneri	related to F1191; cluster with 2 sequences only and it is indeed related to other Aedes gardneri. It is most likely correct species assignment.	cluster27	Aedes sp albopictus or gardneri	Aedes
Ansforinte_virus_F1367C12F1360	Ansforinte_virus_F1367C12F1360	C12	F1367	F1360	F1367_NODE_12_length_4976_cov_10.137167_3	F1367_NODE_12_length_4976_cov_10.137167	Cambodia:Kompong Thom	Cambodia	2019	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1	Anopheles peditaeniatus	Anopheles
Ansforinte_virus_F1367C12F1367	Ansforinte_virus_F1367C12F1367	C12	F1367	F1367	F1367_NODE_12_length_4976_cov_10.137167_3	F1367_NODE_12_length_4976_cov_10.137167	Cambodia:Kompong Thom	Cambodia	2019	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1	Anopheles peditaeniatus	Anopheles
Gainquerated_virus_F1367C33F1367	Gainquerated_virus_F1367C33F1367	C33	F1367	F1367	F1367_NODE_33_length_3638_cov_33.225230_1	F1367_NODE_33_length_3638_cov_33.225230	Cambodia:Kompong Thom	Cambodia	2019	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1	Anopheles peditaeniatus	Anopheles
Gainquerated_virus_F1367C33F1414	Gainquerated_virus_F1367C33F1414	C33	F1367	F1414	F1367_NODE_33_length_3638_cov_33.225230_1	F1367_NODE_33_length_3638_cov_33.225230	Cambodia:Kompong Thom	Cambodia	2019	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10	Culex bitaeniorhynchus	Culex
Gainquerated_virus_F1367C33F1426	Gainquerated_virus_F1367C33F1426	C33	F1367	F1426	F1367_NODE_33_length_3638_cov_33.225230_1	F1367_NODE_33_length_3638_cov_33.225230	Cambodia:Kompong Thom	Cambodia	2019	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17	Culex quinquefasciatus	Culex
Vistafter_virus_F1409C1832F1409	Vistafter_virus_F1409C1832F1409	C1832	F1409	F1409	F1409_NODE_1832_length_1127_cov_2.578358_1	F1409_NODE_1832_length_1127_cov_2.578358	Cambodia:Kompong Thom	Cambodia	2019	Culex bitaeniorhynchus	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	Culex sp bitaeniorhynchus or sinensis or vishnui.g	Culex
