sample_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
F1280	Culex infantulus	mixed custer, internally divergent	Culex sp brevipalpis or cinctellus or infantulus or quinquefasciatus	_	cluster5
F1275	Culex infantulus	mixed custer, internally divergent	Culex sp brevipalpis or cinctellus or infantulus or quinquefasciatus	_	cluster5
F1276	Culex infantulus	mixed custer, internally divergent	Culex sp brevipalpis or cinctellus or infantulus or quinquefasciatus	F1276 closely related to F1256, a bit more distant from the rest of the cluster	cluster5
F1256	Culex cinctellus	mixed custer, internally divergent	Culex sp brevipalpis or cinctellus or infantulus or quinquefasciatus	F1276 closely related to F1256, a bit more distant from the rest of the cluster	cluster5
F1416	Culex brevipalpis	mixed custer, internally divergent	Culex sp brevipalpis or cinctellus or infantulus or quinquefasciatus	_	cluster5
F1299	Culex nigropunctatus	correct	Culex nigropunctatus	_	cluster6
F1294	Culex nigropunctatus	correct	Culex nigropunctatus	_	cluster6
F1563	Culex nigropunctatus	correct	Culex nigropunctatus	_	cluster6
F1565	Culex nigropunctatus	correct	Culex nigropunctatus	_	cluster6
F1566	Culex nigropunctatus	correct	Culex nigropunctatus	_	cluster6
F1296	Culex nigropunctatus	correct	Culex nigropunctatus	_	cluster6
F1567	Culex nigropunctatus	correct	Culex nigropunctatus	_	cluster6
F1298	Culex nigropunctatus	correct	Culex nigropunctatus	_	cluster6
F1292	Culex nigropunctatus	correct	Culex nigropunctatus	_	cluster6
F1564	Culex nigropunctatus	correct	Culex nigropunctatus	_	cluster6
F1039	Culex nigropunctatus	correct	Culex nigropunctatus	_	cluster6
F1290	Culex nigropunctatus	correct	Culex nigropunctatus	very clean cluster	cluster6
F1042	Culex quinquefasciatus	mixed, only 2 samples	Culex sp quinquefasciatus or sinensis	close to another sample (sinensis), cannot assign to any cluster	cluster7
F1305	Culex sinensis	mixed, only 2 samples	Culex sp quinquefasciatus or sinensis	_	cluster7
F1107	Culex gelidus	correct	Culex gelidus	_	cluster8
F1258	Culex gelidus	correct	Culex gelidus	_	cluster8
F1267	Culex gelidus	correct	Culex gelidus	_	cluster8
F1109	Culex gelidus	correct	Culex gelidus	_	cluster8
F1110	Culex gelidus	correct	Culex gelidus	_	cluster8
F1561	Culex gelidus	correct	Culex gelidus	_	cluster8
F1259	Culex gelidus	correct	Culex gelidus	_	cluster8
F1560	Culex gelidus	correct	Culex gelidus	_	cluster8
F1562	Culex gelidus	correct	Culex gelidus	_	cluster8
F1028	Culex gelidus	correct	Culex gelidus	_	cluster8
F1102	Culex gelidus	correct	Culex gelidus	_	cluster8
F1559	Culex gelidus	correct	Culex gelidus	_	cluster8
F1106	Culex gelidus	correct	Culex gelidus	_	cluster8
F1105	Culex gelidus	correct	Culex gelidus	_	cluster8
F1111	Culex gelidus	correct	Culex gelidus	_	cluster8
F1103	Culex gelidus	correct	Culex gelidus	_	cluster8
F1262	Culex gelidus	correct	Culex gelidus	_	cluster8
F1104	Culex gelidus	correct	Culex gelidus	_	cluster8
F1108	Culex gelidus	correct	Culex gelidus	_	cluster8
F1043	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1044	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1037	Culex gelidus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1035	Culex gelidus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1046	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9
F1047	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1451	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1449	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9
F1143	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9
F1130	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1127	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1045	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9
F1152	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1151	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1147	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1156	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9
F1141	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
F1129	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9
