sample_id	ref_id	total_reads	mapped_reads	average_cov	norm_average_cov	percentage_covered	norm_average_cov_LFC	contig_kmer_cov	contig_len	selected	RPKM	RPKM_LFC
F1061	F1161_NODE_1_length_11153_cov_400.498018	12202598	2	0.00520039451268717	0.000426171091818904	0.295884515377029	-18.2378719364246	400.498018	11153	no	0.014695554890307	-16.9745544866428
F1075	F1161_NODE_1_length_11153_cov_400.498018	9320812	22	0.144445440688604	0.0154970876666758	11.1718820048417	-13.0534513632215	400.498018	11153	no	0.211629999172482	-13.1264620783813
F1084	F1161_NODE_1_length_11153_cov_400.498018	8795678	5	0.0165874652559849	0.00188586545073443	0.941450730745091	-16.0921498276728	400.498018	11153	no	0.050969336506336	-15.1803047483924
F1161	F1161_NODE_1_length_11153_cov_400.498018	11538177	243537	1520.08437191787	131.743894370651	99.6592844974446	0	400.498018	11153	yes	1892.50071730583	0
F1260	F1161_NODE_1_length_11153_cov_400.498018	7317899	2	0.0130906482560746	0.00178885336570983	1.30906482560746	-16.1683414436734	400.498018	11153	no	0.0245048406261621	-16.236867557644
F1335	F1161_NODE_1_length_11153_cov_400.498018	12217422	2	0.00609701425625392	0.000499042617685951	0.609701425625392	-18.0101416461084	400.498018	11153	no	0.0146777240495868	-16.9763060424493
F1430	F1161_NODE_1_length_11153_cov_400.498018	15018516	1	0.00672464807675065	0.000447757160344647	0.672464807675065	-18.1665881681185	400.498018	11153	no	0.00597009547126196	-18.274108413705
F1509	F1161_NODE_1_length_11153_cov_400.498018	13996422	15	0.0940554111001524	0.00671996108006406	8.41925939209181	-14.2589236992159	400.498018	11153	no	0.0960909592001534	-14.2655336212752
F1003	F1161_NODE_3382_length_1119_cov_2.171992	9666494	49	3.23592493297587	0.334756834585101	90.1697944593387	-1.30860880544035	2.171992	1119	yes	4.52998754340512	-1.35875817598221
F1004	F1161_NODE_3382_length_1119_cov_2.171992	10555859	149	9.61394101876676	0.910768230114362	97.5871313672922	0.135361651352571	2.171992	1119	yes	12.6142839084439	0.118721145044314
F1005	F1161_NODE_3382_length_1119_cov_2.171992	11390791	73	4.562109025916	0.400508535879202	91.9571045576407	-1.04988932562205	2.171992	1119	yes	5.72715438181817	-1.02044676568808
F1006	F1161_NODE_3382_length_1119_cov_2.171992	14562393	16	1.05183199285076	0.072229337091147	46.9168900804289	-3.52106548143243	2.171992	1119	no	0.981877139726722	-3.56465083965176
F1007	F1161_NODE_3382_length_1119_cov_2.171992	11468286	30	1.97676496872207	0.172367951821403	51.295799821269	-2.26623075546844	2.171992	1119	no	2.33772086557057	-2.31316258327551
F1008	F1161_NODE_3382_length_1119_cov_2.171992	7613276	26	1.73458445040214	0.227836801188102	58.4450402144772	-1.86372151994247	2.171992	1119	no	3.05190975316365	-1.92855295769593
F1009	F1161_NODE_3382_length_1119_cov_2.171992	14472776	81	5.03663985701519	0.34800786366176	99.1957104557641	-1.25260241027472	2.171992	1119	yes	5.00153246213672	-1.21589505688062
F1010	F1161_NODE_3382_length_1119_cov_2.171992	9274717	3	0.20017873100983	0.0215832710593574	18.4986595174263	-5.2637368815651	2.171992	1119	no	0.289061665973537	-5.32881605608243
F1012	F1161_NODE_3382_length_1119_cov_2.171992	12005091	21	1.35746201966041	0.11307386338516	66.8453976764969	-2.87445682205152	2.171992	1119	no	1.56323313435705	-2.89373230695573
F1013	F1161_NODE_3382_length_1119_cov_2.171992	9779029	59	3.81501340482574	0.390121903189543	92.7613941018767	-1.08779731617712	2.171992	1119	yes	5.39170585340432	-1.10752346724381
F1014	F1161_NODE_3382_length_1119_cov_2.171992	8892134	73	4.73994638069705	0.533049364831552	97.9445933869526	-0.637453171365471	2.171992	1119	yes	7.33646373165598	-0.663180425778927
F1015	F1161_NODE_3382_length_1119_cov_2.171992	12637256	29	1.81948168007149	0.143977591343524	78.7310098302056	-2.52587802792745	2.171992	1119	no	2.05076136982426	-2.50210563205647
F1016	F1161_NODE_3382_length_1119_cov_2.171992	7977076	57	3.72743521000894	0.467268358733067	99.3744414655943	-0.827470968340726	2.171992	1119	yes	6.38559013372927	-0.863445304246097
F1017	F1161_NODE_3382_length_1119_cov_2.171992	9184351	53	3.3011617515639	0.359433317777587	84.6291331546023	-1.20599817008013	2.171992	1119	yes	5.15700212295942	-1.17173261968026
F1058	F1161_NODE_3382_length_1119_cov_2.171992	14476837	37	2.23145665773012	0.154139792948564	44.7721179624665	-2.42748295802541	2.171992	1119	no	2.28400974733556	-2.34669645150555
F1059	F1161_NODE_3382_length_1119_cov_2.171992	22241881	8	0.355674709562109	0.0159912153815637	7.68543342269884	-5.69637081881026	2.171992	1119	no	0.321431464956054	-5.1756821925348
F1061	F1161_NODE_3382_length_1119_cov_2.171992	12202598	10	0.638963360142985	0.0523628951919079	24.1286863270777	-3.98510554365279	2.171992	1119	no	0.732348184502208	-3.98766363361206
F1069	F1161_NODE_3382_length_1119_cov_2.171992	9665887	14	0.875781948168007	0.0906054403665186	52.9043789097408	-3.19405273215236	2.171992	1119	no	1.29436343380741	-3.16602250227822
F1070	F1161_NODE_3382_length_1119_cov_2.171992	9335491	6	0.348525469168901	0.0373333838754599	32.3503127792672	-4.47318413147856	2.171992	1119	no	0.574359751930152	-4.3382386976879
F1071	F1161_NODE_3382_length_1119_cov_2.171992	15086782	2	0.134048257372654	0.00888514577679018	6.70241286863271	-6.54418305949032	2.171992	1119	no	0.118468610357202	-6.61568850316709
F1075	F1161_NODE_3382_length_1119_cov_2.171992	9320812	27	1.78999106344951	0.19204239538889	72.8328865058088	-2.11029747988169	2.171992	1119	no	2.58868930379432	-2.16604343671182
F1076	F1161_NODE_3382_length_1119_cov_2.171992	8802401	33	2.08042895442359	0.236347895809745	59.0705987488829	-1.81081029563783	2.171992	1119	no	3.35029233750927	-1.79397827236855
F1079	F1161_NODE_3382_length_1119_cov_2.171992	11015015	84	5.30205540661305	0.481347996948987	85.6121537086685	-0.784642029355789	2.171992	1119	yes	6.81497248334989	-0.769557427217906
F1083	F1161_NODE_3382_length_1119_cov_2.171992	9569130	26	1.58266309204647	0.165392579267548	83.5567470956211	-2.32582781016143	2.171992	1119	yes	2.42812369336886	-2.25842334195314
F1158	F1161_NODE_3382_length_1119_cov_2.171992	19346260	71	4.5692582663092	0.236183027950064	39.5889186773905	-1.81181701939391	2.171992	1119	no	3.27967826803335	-1.82471096375705
F1159	F1161_NODE_3382_length_1119_cov_2.171992	16126081	2	0.0911528150134048	0.00565250881558916	9.11528150134048	-7.19668716895476	2.171992	1119	no	0.110833506188023	-6.71179926410715
F1161	F1161_NODE_3382_length_1119_cov_2.171992	11538177	150	9.5674709562109	0.829201264308123	100	0	2.171992	1119	yes	11.617802133964	0
F1162	F1161_NODE_3382_length_1119_cov_2.171992	15370688	18	1.18051831992851	0.0768032192136427	47.6318141197498	-3.43248362815446	2.171992	1119	no	1.04652380457651	-3.47266013113986
F1163	F1161_NODE_3382_length_1119_cov_2.171992	13983892	46	2.94459338695264	0.210570375325599	26.5415549597855	-1.97741983506309	2.171992	1119	no	2.93967747040289	-1.98260738208238
F1165	F1161_NODE_3382_length_1119_cov_2.171992	9706745	71	4.68275245755139	0.482422527587918	84.5397676496872	-0.781425038117857	2.171992	1119	yes	6.53664111808057	-0.829715768218874
F1167	F1161_NODE_3382_length_1119_cov_2.171992	12737346	96	5.58266309204647	0.438290919634787	51.9213583556747	-0.919833526272452	2.171992	1119	no	6.7353815087145	-0.786505593297697
F1168	F1161_NODE_3382_length_1119_cov_2.171992	10242708	88	5.37444146559428	0.524709038429513	68.9008042895442	-0.660204674682967	2.171992	1119	no	7.6778176557694	-0.597568961800558
F1171	F1161_NODE_3382_length_1119_cov_2.171992	13444932	2	0.133154602323503	0.00990370217740805	13.3154602323503	-6.38761057524073	2.171992	1119	no	0.132935599696752	-6.44946584888378
