sample	refs
F1122	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1123	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1124	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1125	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1126	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1157	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1158	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1159	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1160	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1161	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
